Gene	Num
HERC6	10
FAM120C	10
UNC13A	10
PTCHD1	10
FRMPD1	10
SPAG5	10
ZNF106	10
SMARCA2	10
RAB3GAP2	10
DHX9	10
KIF20B	10
AP3B1	10
NUP155	10
ZEB1	10
NUP188	10
ELP1	10
MYO15A	10
DYSF	10
KMT2B	10
ZFC3H1	10
ANKRD30A	10
KIF1B	10
KIF21B	10
FMNL3	10
KDM3B	10
ABCA3	10
EXOC2	10
SRGAP2	10
ATP8B2	10
BPTF	10
TBC1D8B	10
DYRK1A	10
GUCY2C	10
ADAMTS19	10
HPS3	10
MAGI2	10
CEP70	10
AK9	10
ABCC12	10
RB1CC1	10
NCL	10
PRPF8	10
ROBO2	10
ZNF804B	10
SYT16	10
ZNF318	10
MUC2	10
CEP72	10
ARAP3	10
PREX1	10
DOCK8	10
ZNF407	10
DNM1	10
TNRC6C	10
KRIT1	10
SLCO1C1	10
KCNU1	10
ADAM29	10
ECPAS	10
PIK3CB	10
ZNF711	10
LRP6	10
TRIP12	10
ADGRL3	10
TRANK1	10
IL1RAPL1	10
TNIK	10
PI4KA	10
TET3	10
TMCC3	10
ELAPOR2	10
CDK12	10
CCAR1	10
TSHZ2	10
CAMSAP2	10
COL4A3	10
BRINP1	10
MED13L	10
SCN4A	10
POLE	10
APBA2	10
LRCH1	10
ANKFN1	10
NLRP3	10
FANCD2	10
DENND1B	10
TLN2	10
TBL1XR1	10
PTCHD3	10
WASHC4	10
SLC12A5	10
TUT7	10
ANO4	10
ADGRL4	10
COL4A4	10
KIF14	10
ATG2B	10
LTBP4	10
POLA1	10
DAPK1	10
RANBP6	10
COL27A1	10
RAPGEF1	10
PCDHA8	10
KIF1A	10
CNTN6	10
PMS1	10
BRIP1	10
CPED1	10
MAP3K15	10
APOBR	10
ADCY10	10
NPHP4	10
CCDC150	10
PKP4	10
AKAP4	10
KDM2A	10
ADGRL2	10
CELSR2	10
ABCA7	10
CLASP2	10
GBF1	10
NDUFS1	9
ITGB4	9
AGBL1	9
ZNF91	9
ZSWIM8	9
NRCAM	9
MEP1A	9
ANO5	9
RAI2	9
EPRS1	9
KCNH7	9
MROH5	9
PCDHA6	9
CCDC136	9
BCAS1	9
ZC3H12B	9
PLXNA1	9
CNKSR2	9
TCF20	9
PALM2AKAP2	9
DDR2	9
CUL9	9
KCNH8	9
ROCK2	9
ZNF831	9
ZBTB41	9
KIAA0100	9
EHBP1	9
PLA2G4A	9
NEUROD6	9
CNTN4	9
SHROOM4	9
NYNRIN	9
SIPA1L1	9
PRX	9
SP100	9
LRRC8C	9
ZNF608	9
SEL1L3	9
SYMPK	9
SBNO1	9
ATRN	9
ERBIN	9
RUBCN	9
TRPM3	9
PTPRZ1	9
ARAF	9
PEAK1	9
CHD1	9
MCM7	9
MIB1	9
RPGR	9
TLR8	9
PPARGC1A	9
NSD3	9
CD5L	9
KCNQ2	9
EMSY	9
ANKS1B	9
ABCA6	9
GRID2	9
IL1RL2	9
CEP128	9
TTLL4	9
SEMA3C	9
ATXN1	9
NRDC	9
PARP9	9
PLCB1	9
ATF6	9
RNF43	9
MUSK	9
IMPG1	9
SPEG	9
RFX3	9
DMGDH	9
MYH11	9
DGKD	9
KDR	9
SHPRH	9
PCARE	9
PCDHA3	9
CDKN1B	9
NUTM2F	9
ATP1A4	9
ZNFX1	9
SLC26A4	9
KCTD3	9
SON	9
TMEM67	9
FAM214A	9
PCDHA10	9
TARS2	9
SGIP1	9
DCAF1	9
CHGB	9
TTC7B	9
YEATS2	9
USO1	9
TEK	9
DYNC1I1	9
PHF12	9
PALLD	9
MELTF	9
JAK1	9
UNC13B	9
ESR1	9
FAM47B	9
THAP12	9
SPAG9	9
RREB1	9
FMR1	9
SMC1A	9
TLR3	9
SPG11	9
USP53	9
EPHB1	9
PLD1	9
PRDM1	9
SCAPER	9
DMBT1	9
MYO3B	9
ZXDB	9
GSE1	9
ABCC10	9
PKN2	9
ARHGEF1	9
PLK2	9
MEN1	9
VWA8	9
TARBP1	9
COBLL1	9
KDM5A	9
ZBED4	9
DCAF8L1	9
SPTBN4	9
NBEAL2	9
OPA1	9
MAGEA12	9
TMEM94	9
ABCA5	9
NUMA1	9
NEDD4L	9
SUGP1	9
EIF2AK4	9
INO80D	9
CCPG1	9
GPC6	9
USPL1	9
PTK2	9
KCNK18	9
WAS	9
XIRP1	9
PUM2	9
PLCG1	9
DIAPH1	9
VPS8	9
RALGAPA1	9
IGF1R	9
SOX6	9
