gene	lowMean	highMean	logFC	pValue	fdr
CEACAM5	34.8384047707559	74.7557152854512	1.1015053163098	0.0346663921669388	0.0411782313068765
THBS4	44.2831395600991	21.4767312154696	-1.04398307899632	1.61569035164134e-16	7.95699577267145e-16
EGR1	419.492821902107	191.874347605893	-1.12848427921653	1.26458333852064e-22	1.23208606868173e-21
CNN1	38.7543681846345	19.1236709023941	-1.01899944860613	3.99384170973045e-14	1.53015235031775e-13
AC108058.1	1.5362436802974	0.563455432780847	-1.44703366750576	2.48170307873306e-30	7.14387894667619e-29
MIEN1	67.5259530669145	165.608602117864	1.29426360960181	8.54575965635107e-23	8.55026005640415e-22
FGF14	1.78004383519207	0.492396132596685	-1.85402143361244	3.27747374714698e-25	4.50132719698524e-24
ABCA8	4.0342136307311	1.3857667587477	-1.5416030285742	3.01065499230745e-36	2.257859197959e-34
ZBTB16	6.35260467781908	2.38671215469613	-1.41232365994908	1.48428720620049e-25	2.13634906892443e-24
TEX52	2.49353302354399	1.21417513812155	-1.03821477224439	6.12996681751007e-37	5.16336466071944e-35
RNU6-638P	2.72999312267658	1.09393241252302	-1.31937371128164	1.75489245938394e-16	8.61277444403157e-16
KRT79	7.13027772614622	2.12879594843462	-1.74392060139499	0.0126868796681442	0.0157757948836883
RNU6ATAC24P	2.22189454770756	1.01505	-1.1302395528995	2.71753166408475e-28	5.63237259687093e-27
PTN	99.7186761771995	45.2367275322284	-1.14036916317478	2.77901423459332e-23	2.96249154596703e-22
C11orf86	0.749882032218092	1.9464832412523	1.37613436265725	0.0133526210908818	0.0165688227012032
ABCA9	2.68180597893432	1.03124880294659	-1.37881242141113	2.45635540745506e-36	1.8667209383144e-34
MAGOH2P	2.33829067534077	1.061197053407	-1.1397617091374	3.34720580627719e-56	1.90779573605112e-52
IL33	19.6603215923172	8.77354797421731	-1.16405463698784	9.37036679386883e-34	4.74035212450778e-32
RNA5SP317	3.32222549566295	1.57150432780847	-1.0800037541599	1.1826056264477e-31	4.22158112873262e-30
RPL37P12	2.33084126394052	0.971912523020258	-1.26195238167891	2.40461552610889e-38	2.66990395330753e-36
AC119424.1	1.45473082403965	0.689401749539595	-1.07733536386406	1.51625791543084e-11	4.52706374994795e-11
SCG2	22.7003349442379	6.36086298342541	-1.83541916918514	6.2173304688352e-10	1.58293826215922e-09
MS4A2	4.21322754027261	1.96119861878453	-1.10319018174613	2.03969780732963e-15	8.93818370259594e-15
HLF	6.84093931226766	2.66883996316759	-1.35798163461031	1.36913053700054e-31	4.83693451491162e-30
PAK3	1.37928513011152	0.64881197053407	-1.08804838355516	2.78658800044739e-37	2.44348042152051e-35
SNRPGP4	2.008379244114	0.941921454880295	-1.09235305420806	2.06472147409011e-21	1.75383370518961e-20
RASSF9	3.0625218401487	1.44862357274401	-1.08003737574841	8.09739821308162e-48	9.8898151461059e-45
SYN2	2.17887967781908	1.06351279926335	-1.03474913400575	5.47611172307132e-32	2.05342180598238e-30
DNASE1L3	2.09963197026022	0.969259116022099	-1.11518216626336	1.25912725482938e-26	2.07017470483919e-25
AC124944.3	3.211225	1.42972974217311	-1.16738128935941	3.50375408422962e-35	2.26934435932736e-33
TRBJ1-6	9.67046697645601	4.59354861878453	-1.07397645911877	9.29248871712621e-14	3.43550842322467e-13
SNORA63	2.29156979553903	1.00168627992634	-1.19390548848859	3.67939378481137e-21	3.03932146504781e-20
HTR2B	2.53386648079306	1.1973741252302	-1.08146650567551	5.74825634168439e-32	2.15075350517421e-30
NPTX1	5.60009761462206	1.13240699815838	-2.30605940474132	1.81814321321257e-10	4.8781469955628e-10
RN7SL314P	37.5578887546468	9.37946279926335	-2.00153876581976	6.19693972235683e-22	5.56228201115903e-21
AC023421.1	2.3966936802974	1.11354069981584	-1.10589124148181	4.81700972462505e-26	7.41368580390313e-25
CHRDL1	23.122739157373	9.06884871086556	-1.35032099442062	6.50287847290003e-27	1.1152730091085e-25
BLK	1.48579544609665	0.607359668508287	-1.29061249423203	9.30711132354435e-09	2.11653539727736e-08
LEFTY2	2.90970982032218	1.42943987108656	-1.02542534839089	1.63933930159375e-28	3.4734898039593e-27
RN7SL600P	1.99325703221809	0.624963259668508	-1.67328447470189	1.55782673839864e-17	8.48861676223019e-17
AP003555.2	2.0194397149938	0.609770810313076	-1.72761608345678	1.44687653527407e-33	7.17105561642067e-32
